epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,16686.5,1.00795,0.75293,1.13899,0.7793,0.85688,0.7968,0.59504,0.79024,0.48027,0.97947,0.005512,0.005512,0.005512
70,16927.3,0.99789,0.74503,1.138,0.78088,0.85201,0.79664,0.59705,0.78536,0.47807,0.97806,0.005446,0.005446,0.005446
71,17166.9,0.9982,0.74741,1.13366,0.77977,0.85735,0.79809,0.59937,0.77976,0.47668,0.9751,0.00538,0.00538,0.00538
72,17405.6,0.99735,0.74602,1.13565,0.78394,0.85491,0.79843,0.60041,0.77556,0.47491,0.97311,0.005314,0.005314,0.005314
73,17645.1,0.99007,0.73433,1.12553,0.78047,0.85839,0.79911,0.6019,0.76999,0.47296,0.97081,0.005248,0.005248,0.005248
74,17884.2,0.98563,0.73119,1.12616,0.77992,0.8583,0.79977,0.60276,0.76357,0.47053,0.96866,0.005182,0.005182,0.005182
75,18124.3,0.98206,0.72674,1.12547,0.78312,0.85711,0.79924,0.60405,0.75572,0.46772,0.96593,0.005116,0.005116,0.005116
76,18364,0.97857,0.72379,1.11954,0.78479,0.85538,0.79909,0.60456,0.74976,0.46601,0.96356,0.00505,0.00505,0.00505
77,18603.4,0.97625,0.71824,1.12108,0.7866,0.85244,0.79857,0.60586,0.74431,0.46429,0.96181,0.004984,0.004984,0.004984
78,18844.6,0.97062,0.71605,1.11865,0.78903,0.8528,0.79929,0.60685,0.73877,0.46144,0.95993,0.004918,0.004918,0.004918
79,19084.7,0.96568,0.71546,1.11635,0.78939,0.85338,0.80045,0.60878,0.73418,0.45918,0.95804,0.004852,0.004852,0.004852
80,19323.2,0.97157,0.71729,1.11788,0.78953,0.85394,0.80088,0.6103,0.72997,0.45702,0.95685,0.004786,0.004786,0.004786
81,19562.9,0.96325,0.71035,1.11752,0.78423,0.85952,0.801,0.6101,0.72755,0.45521,0.95612,0.00472,0.00472,0.00472
82,19801.8,0.95566,0.70174,1.10979,0.78471,0.86104,0.80136,0.61069,0.72524,0.45412,0.95533,0.004654,0.004654,0.004654
83,20041.4,0.96124,0.70623,1.11282,0.78783,0.86122,0.80249,0.61167,0.72165,0.45273,0.95398,0.004588,0.004588,0.004588
84,20280.9,0.95366,0.70041,1.10565,0.78218,0.86864,0.8021,0.61259,0.7184,0.45159,0.95292,0.004522,0.004522,0.004522
85,20521.5,0.95566,0.70591,1.1093,0.78849,0.8611,0.80205,0.61366,0.71517,0.45027,0.9519,0.004456,0.004456,0.004456
86,20762.8,0.95234,0.70079,1.1098,0.7833,0.86625,0.80218,0.61375,0.71289,0.44876,0.95111,0.00439,0.00439,0.00439
87,21003.2,0.94729,0.69332,1.10494,0.78114,0.86712,0.80164,0.61361,0.71095,0.44744,0.95032,0.004324,0.004324,0.004324
88,21242.5,0.94925,0.69505,1.1071,0.78526,0.86445,0.80155,0.61334,0.70866,0.44665,0.9493,0.004258,0.004258,0.004258
89,21480.8,0.94161,0.68452,1.10705,0.7885,0.86112,0.80183,0.61477,0.70626,0.44549,0.9487,0.004192,0.004192,0.004192
90,21720.4,0.93429,0.68306,1.09843,0.77816,0.8728,0.80246,0.6152,0.70433,0.44443,0.94794,0.004126,0.004126,0.004126
91,21959.8,0.93253,0.67978,1.09388,0.77825,0.86955,0.80247,0.61654,0.70298,0.44365,0.94733,0.00406,0.00406,0.00406
92,22199.1,0.9356,0.68485,1.09937,0.787,0.86157,0.80155,0.61687,0.70131,0.44274,0.94659,0.003994,0.003994,0.003994
93,22438,0.92535,0.67682,1.09345,0.78698,0.86341,0.80199,0.6176,0.69991,0.44149,0.94603,0.003928,0.003928,0.003928
94,22678.8,0.92781,0.67485,1.09518,0.79133,0.8598,0.8017,0.6172,0.69833,0.44052,0.9455,0.003862,0.003862,0.003862
95,22919.1,0.92745,0.67017,1.09016,0.79258,0.85872,0.80248,0.61821,0.69679,0.44005,0.94489,0.003796,0.003796,0.003796
96,23159.9,0.92255,0.66865,1.0932,0.79343,0.85872,0.80253,0.61885,0.69537,0.43907,0.94414,0.00373,0.00373,0.00373
97,23400.6,0.91926,0.65947,1.09024,0.79447,0.85857,0.80288,0.61925,0.69397,0.43812,0.9433,0.003664,0.003664,0.003664
98,23639.8,0.91612,0.66826,1.09194,0.79411,0.85933,0.80306,0.61954,0.69246,0.43734,0.94274,0.003598,0.003598,0.003598
99,23880.4,0.91513,0.65863,1.08562,0.79284,0.86129,0.80291,0.6198,0.69083,0.43646,0.94199,0.003532,0.003532,0.003532
100,24120.6,0.91121,0.66123,1.08346,0.79488,0.86034,0.80415,0.62121,0.68915,0.43557,0.94123,0.003466,0.003466,0.003466
101,24361.6,0.90598,0.65314,1.08253,0.7945,0.86072,0.80409,0.62167,0.68775,0.43468,0.94072,0.0034,0.0034,0.0034
102,24602.6,0.91373,0.65708,1.08614,0.79608,0.85637,0.80431,0.62186,0.68663,0.43416,0.94011,0.003334,0.003334,0.003334
103,24843.8,0.90456,0.64985,1.08382,0.7956,0.85618,0.80388,0.62306,0.68521,0.43359,0.93963,0.003268,0.003268,0.003268
104,25083.2,0.90147,0.64931,1.0791,0.79228,0.85957,0.80439,0.62339,0.68387,0.43307,0.93904,0.003202,0.003202,0.003202
105,25323.3,0.89819,0.64904,1.0811,0.79026,0.86156,0.80485,0.62365,0.68229,0.43244,0.93834,0.003136,0.003136,0.003136
106,25571.9,0.89464,0.64341,1.08074,0.79095,0.86413,0.80476,0.62372,0.68065,0.4319,0.93777,0.00307,0.00307,0.00307
107,25811.2,0.8969,0.6413,1.07902,0.79183,0.86336,0.8052,0.62444,0.67954,0.43107,0.93731,0.003004,0.003004,0.003004
108,26050.3,0.88484,0.63184,1.07109,0.79145,0.86423,0.8053,0.62458,0.67826,0.43051,0.93679,0.002938,0.002938,0.002938
109,26288.7,0.88824,0.63766,1.07356,0.79176,0.86426,0.80595,0.62536,0.67725,0.43011,0.93635,0.002872,0.002872,0.002872
110,26528.4,0.87921,0.6275,1.06482,0.79185,0.86432,0.80533,0.62506,0.67598,0.42958,0.93578,0.002806,0.002806,0.002806
111,26769.8,0.88245,0.63469,1.06859,0.79265,0.8658,0.80525,0.62539,0.6748,0.42897,0.93526,0.00274,0.00274,0.00274
112,27010.6,0.88296,0.63157,1.06998,0.79193,0.86592,0.80512,0.62538,0.67368,0.42845,0.93463,0.002674,0.002674,0.002674
113,27250.1,0.87152,0.62206,1.06807,0.79111,0.8664,0.80533,0.62593,0.6727,0.42776,0.93421,0.002608,0.002608,0.002608
114,27488.9,0.87139,0.62243,1.06847,0.79464,0.86418,0.80602,0.62658,0.67134,0.42706,0.93376,0.002542,0.002542,0.002542
115,27728.3,0.86696,0.61754,1.06276,0.79647,0.86327,0.80641,0.62691,0.66996,0.42646,0.93325,0.002476,0.002476,0.002476
116,27966.9,0.86694,0.6158,1.06308,0.79666,0.86194,0.80628,0.62684,0.66861,0.42602,0.93273,0.00241,0.00241,0.00241
117,28205.1,0.86452,0.61563,1.06656,0.79675,0.86264,0.80698,0.62726,0.66744,0.42547,0.93218,0.002344,0.002344,0.002344
118,28445.3,0.86267,0.60812,1.06231,0.79748,0.86208,0.80735,0.62803,0.66643,0.42484,0.93183,0.002278,0.002278,0.002278
119,28684.4,0.85742,0.6047,1.05534,0.79846,0.86128,0.80735,0.62849,0.66542,0.42415,0.93139,0.002212,0.002212,0.002212
120,28923.2,0.85669,0.60786,1.05913,0.79812,0.86233,0.80754,0.62917,0.66414,0.42344,0.93083,0.002146,0.002146,0.002146
121,29163.3,0.85534,0.60394,1.05437,0.79918,0.86072,0.80772,0.62942,0.66297,0.42318,0.9304,0.00208,0.00208,0.00208
122,29402.3,0.84928,0.60089,1.05569,0.79889,0.86133,0.80813,0.6298,0.66186,0.4225,0.92993,0.002014,0.002014,0.002014
123,29640.8,0.85468,0.6013,1.05714,0.79858,0.86132,0.80841,0.63025,0.66076,0.42175,0.92939,0.001948,0.001948,0.001948
124,29880.2,0.84404,0.58999,1.05164,0.79691,0.86107,0.80834,0.63046,0.65969,0.42112,0.9289,0.001882,0.001882,0.001882
125,30119.8,0.84341,0.5935,1.04757,0.79715,0.86187,0.80886,0.63109,0.65848,0.42057,0.92849,0.001816,0.001816,0.001816
126,30359.6,0.84079,0.58809,1.04628,0.7971,0.8628,0.80895,0.63142,0.6575,0.42013,0.92795,0.00175,0.00175,0.00175
127,30597.9,0.83414,0.58512,1.04176,0.79723,0.86315,0.80842,0.63113,0.6564,0.41956,0.92748,0.001684,0.001684,0.001684
128,30849.3,0.8345,0.58487,1.04767,0.79763,0.86283,0.80835,0.63173,0.6556,0.41903,0.9272,0.001618,0.001618,0.001618
129,31102.6,0.83935,0.59222,1.04985,0.79761,0.86323,0.80822,0.63145,0.65461,0.41833,0.92673,0.001552,0.001552,0.001552
130,31357.5,0.83039,0.57996,1.04249,0.8002,0.86096,0.80813,0.63154,0.65336,0.41757,0.92615,0.001486,0.001486,0.001486
